medicine_name,mfg_name,comp_id
ARDIP A TAB,RESTECH LAB PVT LTD,3089
ARENAC 100MG TAB,RAPID LIFE DRUGS AND HEALTHCARE,3089
ARFLUR 100MG TAB,FDC LIMITED,3089
AROFF 100MG TAB,TORRENT PHARMACEUTICALS LTD,3089
ARRESTIN 100MG TAB,MANEESH PHARMACEUTICALS,3089
ASCLIN 100MG TAB,LINUX LABORATORIES,3089
ASCUTE 100MG TAB,DELLWICH HEALTHCARE,3089
ASHYCLOFLAM 100MG TAB,CELEBRITY BIOPHARMA LTD,3089
ASICLO 100MG TAB,WILLOW PHARMACEUTICALS PVT LTD,3089
ASOACT 100MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,3089
ASONAC 100MG TAB,ZEE LABORATORIES LTD,3089
ATOFEN 100MG TAB,ZOTA HEALTH CARE LTD,3089
AXCES 100MG TAB,AURZ PHARMACEUTICALS PVT LTD,3089
AXCLOPAIN 100MG TAB,CARE FORMULATIONS,3089
AXINAC 100MG TAB,AXENIC HEALTH CARE,3089
AXUS 100MG TAB,NEXUS BIOTECH,3089
AYUFEN 100MG TAB,BIOETHICS LIFE SCIENCES PVT LTD,3089
AZIFLY 100MG TAB,DOCTORS LAB,3089
AZINAC 100MG TAB,AZINE HEALTHCARE,3089
BINAC 100MG TAB,BILVANI HEALTHCARE,3089
ABDAL 100MG TAB,MADHAV BIOTECH,3089
AC1 100MG TAB,PHARMASYNTH FORMULATIONS LTD,3089
ACB TAB,VENSAT BIO,3089
ACCECLOWOC 100MG TAB,WOCKHARDT,3089
ACCESS 100MG TAB,EPIRUS PRODUCTS,3089
ACEACT 100MG TAB,KAIZEN RESEARCH LABS INDIA PVT LTD,3089
ACEBID TAB,SHIELD HEALTHCARE PVT LTD,3089
ACEBLOC 100MG TAB,BIOCHEM PHARMACEUTICAL INDUSTRIES,3089
ACECLO TAB,ARISTO PHARMACEUTICALS PVT LTD,3089
ACECHOS TAB,GATES INDIA,3089
ACECLOCARE 100MG TAB,PUNJAB FORMULATIONS,3089
ACECLOACE 100MG TAB,PARENTERAL DRUGS INDIA LTD,3089
ACECLONIJ 100MG TAB,SUNIJ PHARMA PVT LTD,3089
ACECLOWORTH 100MG TAB,VALCRET LIFESCIENCES,3089
ACECLOMAY 100MG TAB,INTAS PHARMACEUTICALS LTD,3089
ACECLOPAR TAB,THEMIS MEDICARE LTD,3089
ACECLOCENT 100MG TAB,LUCENT BIOTECH,3089
ACECLOPURE 100MG TAB,UNICHEM,3089
ACECLOPURE TAB,UNICHEM,3089
ACEC 100MG TAB,INTRA LABS INDIA PVT LTD,3089
ACECLAN 100MG TAB,ANTHUS PHARMACEUTICALS PVT LTD,3089
ACECLONAC 100MG TAB,UNIVERSAL BIOGENICS,3089
ACECLOZAN 100MG TAB,ZANS PHARMA,3089
ACECLOFISCH TAB,FISCHER BIOSCIENCES PVT LTD,3089
ACEDON 100MG TAB,NOVALIFE HEALTHCARE,3089
ACEDOR 100MG TAB,DORPHYLL HEALTHCARE,3089
ACEFINE TAB,BIOMED,3089
ACEFORCE 100MG TAB,SHREYA LIFE SCIENCES PVT LTD,3089
ACEFEX TAB,ZYDUS HEALTHCARE LTD,3089
ACEFLAM 100MG TAB,MICRO LABS LIMITED,3089
ACEFENAC 100MG TAB,MEDICHEM PHARMA,3089
ACEFEN 100MG TAB,TRIUMPH PHARMA,3089
ACEFIC 100MG TAB,PACIFIC INDIA,3089
ACEJET 100MG TAB,THEMIS MEDICARE LTD,3089
ACEKON 100MG TAB,KONTEST CHEMICALS LTD,3089
ACEK 100MG TAB,STRASSENBURG PHARMACEUTICALS LTD,3089
ACEKAY 100MG TAB,KHANDELWAL LABORATORIES PVT LTD,3089
ACELEO 100MG TAB,LEO STAR HEALTHCARE PVT LTD,3089
ACELOFAN 100MG TAB,ACTO PHARMACEUTICALS LABORATORIES,3089
ACELOM 100MG TAB,OM BIOTEC,3089
ACELON 100MG TAB,BIOMED,3089
ACELO 100MG TAB,MAPLE PHARMA,3089
ACELONG 100MG TAB,LIFELONG REMEDIES,3089
ACELODON TAB,SWISS GARNIER LIFE SCIENCES,3089
ACEMIZ 100MG TAB,LUPIN LTD,3089
ACEMAC TAB,MAC AND GAYER INDIA PHARMA,3089
ACEMARC 100MG TAB,MARC LABORATORIES PVT LTD,3089
ACEMOPAR 100MG TAB,LE MERIDIAN HEALTH CARE,3089
ACEMED 100MG TAB,MEDICO LABS,3089
ACENAC 100MG TAB,MEDLEY PHARMACEUTICALS LTD,3089
ACENAL OA TAB,EPITOME LIFESCIENCES,3089
ACENAL SAFE TAB,BHARTI LIFE SCIENCES,3089
ACENEXT 100MG TAB,CADILA PHARMACEUTICALS LTD,3089
ACENOVA TAB,SYNCHEM LABS,3089
ACENAC TAB,MEDLEY PHARMACEUTICALS LTD,3089
ACENAL 100MG TAB,BHARTI LIFE SCIENCES,3089
ACENATE 100MG TAB,SHATAYUSHI HEALTH CARE,3089
ACENET 100MG TAB,BIOWORLD PHARMA,3089
ACENT 100MG TAB,INTRA LABS INDIA PVT LTD,3089
ACENT MD 100MG TAB,INTRA LABS INDIA PVT LTD,3089
ACEON 100MG TAB,LIFELINE FORMULATIONS,3089
ACEPHAR 100MG TAB,BIOPHAR LIFESCIENCES,3089
ACEPAR 100MG TAB,ALLENGE INDIA,3089
ACEPAC 100MG TAB,TAVIS LIFE CARE,3089
ACEROC TAB,WOCKHARDT,3089
ACERAP 100MG TAB,RAPROSS PHARMACEUTICALS PVT LTD,3089
ACERIK 100MG TAB,LANARK LAB,3089
ACERUN 100MG TAB,NORRIS MEDICINES LTD,3089
ACEROS 100MG TAB,MAXFORD HEALTHCARE,3089
ACESOL 100MG TAB,BOFFIN BIOTECH PVT LTD,3089
ACESUN 100MG TAB,SUNLIFE SCIENCES,3089
ACETAL 100MG TAB,COASTAL BIOMEDICS,3089
ACETAZEN 100MG TAB,ARETAEUS PHARMACEUTICALS,3089
ACETUFF 100MG TAB,SERVOCARE LIFESCIENCES,3089
ACETINO 100MG TAB,ROMA HEALTHCARE,3089
ACEVIS 100MG TAB,INNOVA FORMULATIONS PVT LTD,3089
ACEWOK 100MG TAB,INTRA LIFE,3089
ACEWALK 100MG TAB,INVISION MEDI SCIENCE PVT LTD,3089
ACEX 100MG TAB,GEN BIOTECH,3089
ACEZ 100MG TAB,CREST PHARMA PVT LTD,3089
ACE 100MG TAB,AESCUL PHARMA,3089
ACFAC 100MG TAB,TULIP LAB PVT LTD,3089
ACHFRI 100MG TAB,CVR BIOTECH PVT LTD,3089
ACIANA 100MG TAB,ARONEX LIFE SCIENCE,3089
ACIDOL 100MG TAB,ARMOUR REMEDIES IND LTD,3089
ACIF TAB,HEXTAR PHARMACEUTICALS,3089
ACIFON 100MG TAB,ZENON HEALTHCARE,3089
ACIFACT 100MG TAB,MEDICO HEALTHCARE,3089
ACIK 100MG TAB,SYNOKEM PHARMACEUTICALS LTD,3089
ACIKY 100MG TAB,CHEMO HEALTHCARE PVT LTD,3089
ACILEX 100MG TAB,LEXUS ORGANIC,3089
ACIMAX 100MG TAB,VANCE & HEALTH,3089
ACINAC 100MG TAB,YASH REMEDIES,3089
ACIPAK 100MG TAB,VENBERRY HEALTHCARE,3089
ACIT 100MG TAB,ADITRI MARKETING PVT LTD,3089
ACIVAS 100MG TAB,VASU ORGANICS PVT LTD,3089
ACIWIDE 100MG TAB,THE WORLD WIDE PHARMA,3089
ACLOPEN 100MG TAB,DR MOREPEN LTD,3089
ACLONAC 100MG TAB,PCI PHARMACEUTICALS,3089
ACLOTEC 100MG TAB,TARGOF PURE DRUGS TD,3089
ACLOGEM 100MG TAB,GENETIC PHARMA,3089
ACLOFAC 100MG TAB,IATROS,3089
ACLOFEN 100MG TAB,IND SWIFT LIMITED,3089
ACLOPIC 100MG TAB,ALPIC BIOTECH LTD,3089
ACLO TAB,INJECTO CAPTA,3089
ACLOPRIDE 100MG DT TAB,INNOVATIVE PHARMA,3089
ACLOZEN DT TAB,ZENLABS ETHICA LTD,3089
ACLODOC 100MG TAB,DR MOREPEN LTD,3089
ACLOZEST 100MG TAB,IKON REMEDIES PVT LTD,3089
ACLONEC 100MG TAB,OSCAR REMEDIES PVT LTD,3089
ACLOFRE 100MG TAB,FREDUN PHARMACEUTICALS,3089
ACLODEN 100MG TAB,WELGENIC PHARMA,3089
ACLODOL 100MG TAB,JAYSON PHARMACEUTICALS PVT LTD,3089
ACNIX 100MG TAB,SAPHNIX LIFE SCIENCES,3089
ACOFEN 100MG TAB,DIVINE HEALTHCARE,3089
ACOSTA 100MG TAB,ASTRICA BIOMEDICS PVT LTD,3089
ACOTA 100MG TAB,CADILA PHARMACEUTICALS LTD,3089
ACOX 100MG TAB,BIOMMUNE PHARMA,3089
ACROZE 100MG TAB,MEDIROSE DRUGS AND PHARMA,3089
ACSENT 100MG TAB,DYNAMED PHARMA,3089
ACTIN 100MG TAB,QUIVER PHARMA,3089
ACTIZ 100MG TAB,ASTRONIA LIFE SCIENCES,3089
ACTOFLAM 100MG TAB,ACTUS HEALTH CARE,3089
ACYF 100MG TAB,SUMAC PHARMA PVT LTD,3089
ACY 100MG TAB,ALPIC REMEDIES,3089
AC 100MG TAB,MMC HEALTHCARE,3089
ISIKO 100MG TAB,SIESTA PHARMA,3089
KAFENAC 100MG TAB,KAVYA HEALTHCARE,3089
KAIRNAC 100MG TAB,PDC HEALTHCARE,3089
KAPNAC 100MG TAB,KAPS THREE LIFESCIENCES PVT LTD,3089
ORTHOBEST TAB,TTK,3089
ORTHOFEN 100MG TAB,AZINE HEALTHCARE,3089
OSMORIL TAB,KENTRECK LABORATORIES PVT LTD,3089
OSTAFRESH 100MG TAB,PHARMA DRUGS AND CHEMICALS,3089
OSTONAC 100MG TAB,HEAL INDIA LABORATORIES,3089
OTONAC DT TAB,SOLITAIRE PHARMACIA PVT LTD,3089
PACE 100MG TAB,COMMON WEALTH,3089
PAINIL TAB,CIPLA,3089
PANACE 100MG TAB,PSYCO REMEDIES LTD,3089
PIX PLUS TAB,GENERAL,3089
POLOBIT 100MG TAB,PROGRESSIVE LIFECARE,3089
POWERNAC 100MG TAB,RISHAB HEALTHCARE,3089
POWERACE 100MG TAB,INVISION MEDI SCIENCE PVT LTD,3089
NEXONAC 100MG TAB,EMENOX HEALTHCARE,3089
NINZA TAB,THRIFT PHARMACEUTICALS,3089
NIPLONAC 100MG TAB,ABBOTT,3089
NODOL 100MG TAB,MEDCORPUS PHARMA,3089
NUFENAC A 100MG TAB,KARNATAKA ANTIBIOTICS AND PHARMACEUTICALS LTD,3089
NUSAID 100MG TAB,MOLEKULE,3089
HHACECLO 100MG TAB,HEGDE AND HEGDE PHARMACEUTICA LLP,3089
HIFENAC TAB,INTAS PHARMACEUTICALS LTD,3089
HINAC 100MG TAB,INTAS PHARMACEUTICALS LTD,3089
HIODIC SR TAB,KEEN HEALTHCARE,3089
ICOBIT 100MG TAB,CUBIT HEALTHCARE,3089
INCLO 100MG TAB,INVOMED COTAB PVT LTD,3089
INFLAGESIC TAB,ARAVALI PHARMACEUTICALS,3089
INFLAHIT TAB,AUREL BIOLIFE,3089
INFLANAC 100MG TAB,CALIBAR PHARMA,3089
KLACEE 100MG TAB,KLOKTER LIFE SCIENCE,3089
LABACE 100MG TAB,HIRAL LABS LTD,3089
LEKACE 100MG TAB,J B CHEMICALS AND PHARMACEUTICALS LTD,3089
LESTER 100MG TAB,MCASTRO PHARMA,3089
LETGO 100MG TAB,ORION BIOTECH PVT LTD,3089
GLAFEN 100 MG TAB,GLADCARE FORMULATIONS PVT LTD,3089
GOFLAM  100MG TAB,SOLITAIRE PHARMACIA PVT LTD,3089
FORTAFEN 100MG TAB,ALEMBIC PHARMACEUTICALS LTD,3089
CANEFO SR 100MG TAB,MEDOPHARM,3089
CANPARA 100MG TAB,AMERICAN BIOCARE,3089
MIBIRIDE TAB,MERCK LIMITED,3089
MICRONAC TAB,MICRO LABS LIMITED,3089
MIRAFLAM TAB,BIOMIRRA BIOGENICS,3089
RECLOFEN TAB,QUEEN PHARMACEUTICALS,3089
RENAEC TAB,SANTE VISION,3089
REXACE 100MG TAB,AAVHANZR PHARMA,3089
RIVACE 100MG TAB,ZYTRAS LIFE SCIENCES,3089
ROFACLO 100MG TAB,SUN PHARMACEUTICAL INDUSTRIES LTD,3089
OACE 100MG TAB,OYSTER PHARMA PVT LTD,3089
OCTACE 100MG TAB,OCTANE BIOTECH PVT LTD,3089
OLFENAC 100MG TAB,OLCARE LABORATORIES PVT LTD,3089
RABIT 100MG TAB,TIDAL LABORATORIES PVT LTD,3089
RACE 100MG TAB,RHOMBUS PHARMA PVT LTD,3089
RADINAC 100MG TAB,MEDIART HEALTH CARE PVT LTD,3089
RADOPAIN 100MG TAB,RADOSZ PHARMA,3089
TRUACE 100DT TAB,TRUMAC HEALTHCARE,3089
TUFNAC 100MG TAB,ROOTS LIFE SCIENCES,3089
ULTINAC TAB,BIOVITAMINS PVT LTD,3089
ULTIMAC 100MG TAB,MACWELL PHARMA,3089
VALDONE BCD 100MG TAB,CADILA PHARMACEUTICALS LTD,3089
LINI S TAB,ORANGE HEALTHCARE PVT LTD,3089
LOCOACE 100MG TAB,ALCHEMIST LIFESCIENCES LTD,3089
LONACE 100MG TAB,AGONIST HEALTHCARE PVT LTD,3089
RUCADOL TD 100MG TAB,RAVENBHEL PHARMACEUTICALS,3089
RYNAC 100MG TAB,RUDOLF LIFE SCIENCES,3089
SAFENAC TAB,BEST BIOTECH,3089
SAFEFLAM TAB,ACCILEX NUTRICORP,3089
SAFRONAC 100MG TAB,SAFFRON THERAPEUTICS PVT LTD,3089
SAYOFEN 100MG TAB,ZOTA HEALTH CARE LTD,3089
SCORPIO TAB,ICARUS HEALTH CARE PVT LTD,3089
SEROFIN AV 100MG TAB,GLOBUS REMEDIES LTD,3089
THENAC TAB,IVA HEALTHCARE PVT LTD,3089
THIOLIFE TAB,KAIZEN RESEARCH LABS INDIA PVT LTD,3089
TOPFLAM 100MG TAB,ACME PHARMA,3089
TOPGEST 100MG TAB,EVA PHARMA,3089
TOPNAC 100MG TAB,SYSTOPIC LABORATORIES PVT LTD,3089
TOROXX TX TAB,TORRENT PHARMACEUTICALS LTD,3089
SILFEN 100MG TAB,RHOMBUS PHARMA PVT LTD,3089
SIOXX TAB,SYSMED LABORATORIES PVT LTD,3089
SONIC TAB,OLCARE LABORATORIES PVT LTD,3089
STARNAC TAB,INVISION MEDI SCIENCE PVT LTD,3089
STARMOTO 100MG TAB,MINOVA LIFESCIENCES,3089
STECLO 100MG TAB,ASTER MEDIPHARM PVT LTD,3089
SYLENT 100MG TAB,ENMA PHARMACEUTICALS,3089
SYNOVACE 100MG TAB,CACHET PHARMACEUTICALS PVT LTD,3089
TAURPOLAC 100MG TAB,TAURUS LABORATORIES PVT LTD,3089
MAHANAC 100MG TAB,ZUVENTUS HEALTHCARE LTD,3089
MAXIFEN 100MG TAB,SYNERGY PHARMACEUTICALS,3089
MOBIRIDE TAB,MERCK LIMITED,3089
MOREFLEX 100MG TAB,RNOVA BIOLOGICALS PVT LTD,3089
MOVACE 100MG TAB,ALKEM LABORATORIES LTD,3089
MOVIZ TAB,J B CHEMICALS AND PHARMACEUTICALS LTD,3089
MOVON TAB,IPCA LABORATORIES LTD,3089
MYNAC 100MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,3089
MYOFENAC TAB,KINESIS PHARMACEUTICALS PVT LTD,3089
MYORATE 100MG TAB,MAN COP REMEDIES,3089
NAID 100MG TAB,WINSOME LABORATORY LTD,3089
NEFEN 100MG TAB,NITIN LIFESCIENCES,3089
VENO SR 100MG TAB,DUKEN PHARMACEUTICALS,3089
VETORY 100MG TAB,HETERO HEALTHCARE LIMITED,3089
VOLTANEC TAB,CIPLA,3089
XADOO 100MG TAB,ZYDUS HEALTHCARE LTD,3089
XL ACE TAB,EXKLUSIV LIFE SCIENCES,3089
XNAC 100MG TAB,ESTRELLAS LIFESCIENCES,3089
YECLO 100MG TAB,CUBIT HEALTHCARE,3089
ZENTONAC 100MG TAB,IVA HEALTHCARE PVT LTD,3089
ZERODOL TAB,IPCA LABORATORIES LTD,3089
ZEROMOL TAB,SNP HEALTHCARE,3089
ZIX TAB,JENBURKT PHARMA,3089
ZOOM 100MG TAB,CRYSTOKEM PHARMA,3089
ZUNAC 100MG TAB,ZUBIT LIFECARE,3089
ZYNAC TAB,ZYDUS HEALTHCARE LTD,3089
DIPARX TAB,RADISUN LIFESCIENCES,21675
DEGSIC MR TAB,FRANKLIN LABORATORIES INDIA PVT LTD,21675
DICET MR TAB,NASCENT LIFE SCIENCES,21675
FENZONE FORTE TAB,ZEE LABORATORIES LTD,21675
FLAMAZOX MR TAB,EDURA PHARMA,21675
CIP-ZOX TAB,CIPLA,21675
BODYZOX FORT TAB,CARE FORMULATIONS,21675
MOBIZOX TAB,SUN PHARMACEUTICAL INDUSTRIES LTD,21675
MYOFLAM 500MG TAB,KARUP PHARMA,21675
MYOSPAZ FORTE TAB,WIN MEDICARE PVT LTD,21675
RUMAACE MR TAB,HEAL ALL PHRAMACEUTICALS PVT LTD,21675
RUMADEC MR TAB,HEAL ALL PHRAMACEUTICALS PVT LTD,21675
SUNFEN MR TAB,BAKSUN HEALTHCARE PVT LTD,21675
SYZOX TAB,SYMET LABS PVT LTD,21675
POWERGESIC MR TAB,JENBURKT PHARMA,21675
POWERFLAM MR TAB,ALKEM LABORATORIES LTD,21675
DIPEPT TAB,XAVIER PHARMACEUTICALS PVT LTD,9533
DIPKEM S TAB,ANIKEM LABORATORIES,9533
DIPOKAY TAB,KALWIN BIOMEDICA,9533
DIPOTA S TAB,RADISUN LIFESCIENCES,9533
DIPZY K TAB,SUNVET PHARMA,9533
DISER TAB,KEE PHARMA,9533
DISERA N TAB,NEMI PHARMA,9533
DISON TAB,ONEIRO PHARMA,9533
DISUM K PLUS TAB,IVA HEALTHCARE PVT LTD,9533
DIVON S TAB,MICRO LABS LIMITED,9533
DIXER S TAB,BIOPHAR LIFESCIENCES,9533
DIXFREE S TAB,ZENACTS PHARMA,9533
DLF 60MG TAB,SOLITAIRE PHARMACIA PVT LTD,9533
DMLOM S TAB,DM PHARMA,9533
DOCKER TAB,SYMBIOSIS PHARMACEUTICAL PVT LTD,9533
DOCPAIN S TAB,HEALTHDOC LABS,9533
DOFEC S TAB,DWD PHARMA,9533
DOLCLOX SP TAB,ASSURE PHARMA,9533
DOLOPAC SP TAB,BIOGUARD ORGANICS LTD,9533
DOLONASE TAB,PROFESS HEALTH PRODUCTS PVT,9533
DOLODASE P TAB,LANCER HEALTHCARE,9533
DOLOZEN D TAB,LITAKA PHARMACEUTICALS LTD,9533
DOLOWALK S TAB,INVISION MEDI SCIENCE PVT LTD,9533
DOLOCEL SP TAB,CIAN HEALTH CARE,9533
DOLSER D TAB,KENN PHARMACEUTICALS PVT LTD,9533
DOLSAN S TAB,VIRIBUS HEALTHCARE,9533
DOLVER S TAB,ALESTER PHARMA,9533
DOLZY S TAB,ZODLEY PHARMA,9533
DOMIMOL S TAB,DESERVE LIFE SCIENCES,9533
DORDASE D TAB,CANDOR BIOTECH LIMITED,9533
DORFEN SP TAB,DORPHYLL HEALTHCARE,9533
DORSEP S TAB,VSAAR PHARMA PVT LTD,9533
DOSER D TAB,ICARUS HEALTH CARE PVT LTD,9533
DOS TAB,OSCAR REMEDIES PVT LTD,9533
DPAZINE S TAB,BIOTIC HEALTHCARE,9533
DPM PLUS TAB,ARROW PHARMA,9533
DPS TAB,TIMES DRUGS AND PHARMACEUTICALS PVT LTD,9533
DRANZEN D TAB,DRAKT PHARMA,9533
DRONAC SP TAB,OROCHEM,9533
DRU S TAB,MEPFARMA INDIA,9533
DS 15 TAB,NODYSIS PHARMA PVT LTD,9533
DS SAL TAB,ZESTICA PHARMA,9533
DUET TAB,BLUBELL PHARMA,9533
DUTCHSERA TAB,DUPEN LABORATORIES,9533
DYCNAC S TAB,HELPLAB HEALTHCARE PVT LTD,9533
DYCOTIF S TAB,SMAYAN HEALTHCARE PRIVATE LIMITED,9533
DYNAPAR S TAB,TROIKAA PHARMACEUTICALS LTD,9533
DYOSER TAB,AZILLIAN HEALTHCARE,9533
DYOSER 50MG TAB,AZILLIAN HEALTHCARE,9533
DYRECT TAB,OZONE PHARMACEUTICALS LTD,9533
D DEC SP TAB,MAHAVIR ENTERPRISE,9533
D PEP TAB,KANAD  LABS PVT LTD,9533
D SERA TAB,MEDICO HEALTHCARE,9533
ECODASE D TAB,SHATAYUSHI HEALTH CARE,9533
ECOSERRA D TAB,GALPHA LABORATORIES,9533
ECSEPT D TAB,TETRAMED BIOTEK PVT LTD,9533
EDASE D TAB,SOLITAIRE PHARMACIA PVT LTD,9533
EDSER TAB,KIOSENCE HEALTH CARE PVT LTD,9533
DACNAC S TAB,ROMA HEALTHCARE,9533
DACPAR S TAB,HEALTH CARE FORMULATIONS PVT LTD,9533
DAFI S TAB,SAG HEALTH SCIENCE PVT LTD,9533
DAIRO S TAB,MESMER PHARMACEUTICALS,9533
DANZEN PLUS TAB,PARK PHARMA,9533
DANZ PLUS TAB,SUMAGES PHARMA,9533
DASE PLUS TAB,SUMAC PHARMA PVT LTD,9533
DASER FORTE TAB,LANARK LAB,9533
DATIO D TAB,AAMORB PHARMACEUTICALS PVT LTD,9533
DAYS SR TAB,PRISM LIFE SCIENCES LTD,9533
DAZE S TAB,DAKSH PHARMACEUTICALS,9533
DAZINA K TAB,ZOTA HEALTH CARE LTD,9533
DBULL SP TAB,INDIABULLS PHARMACEUTICAL LTD,9533
DCLONOM S TAB,ACINOM HEALTHCARE,9533
DECIFEN SP TAB,MEDLEY PHARMACEUTICALS LTD,9533
DECLODYS S TAB,DM PHARMA,9533
DECLAN S TAB,ALENCURE BIOTECH PVT LTD,9533
DECOFINE S 10MG TAB,MAY AND BAKER PHARMA,9533
DEMO S TAB,NORDIC PHARMA LTD,9533
DENSOR TAB,SWISS BIOTECH,9533
DENSERA D TAB,BMW PHARMACO INDIA PVT LTD,9533
DENZO TAB,ALGEN HEALTHCARE LIMITED,9533
DEPIFINAC S TAB,NOVALIFE HEALTHCARE,9533
DESNA TAB,AUREL BIOLIFE,9533
DEVEDASE PLUS TAB,ZEE LABORATORIES LTD,9533
DGIDEC S TAB,APIKOS PHARMA,9533
DIASE TAB,DOWELL LIFE SCIENCE,9533
DICASE TAB,AEON PHARMA,9533
DICDASE TAB,SURAKSHA PHARMA,9533
DICDASE P TAB,MEDICROSS LIFE SCIENCES,9533
DICDOL S TAB,DOLPHAR PVT LTD,9533
DICE SP TAB,DESTA LIFESCIENCES,9533
DICET S TAB,NASCENT LIFE SCIENCES,9533
DICFEN S TAB,VAISHALI PHARMACEUTICALS ,9533
DICFINE S TAB,SHREYA LIFE SCIENCES PVT LTD,9533
DICGESIC S TAB,DOCTRIS LIFE SCIENCES,9533
DICJOY S TAB,AESTON LIFESCIENCES,9533
DICKA MR CAP,INDIAN DRUGS,9533
DICKY SD TAB,CHEMO HEALTHCARE PVT LTD,9533
DICKA XP TAB,INDIAN DRUGS,9533
DICLOMOL SP TAB,WIN MEDICARE PVT LTD,9533
DICLORUT S TAB,TRUMAC HEALTHCARE,9533
DICLOX S TAB,SCOTT EDIL PHARMACIA LTD,9533
DICLODASE TAB,CLYDE BIOTECH PVT LTD,9533
DICLORIL 50MG TAB,NAVIL LABORATORIES PVT LTD,9533
DICLOPEP 50MG TAB,WAVES BIOTECH,9533
DICLOSERRA TAB,PRAYAS PHARMACEUTICALS,9533
DICLOPEPT TAB,COLINZ LABORATORIES LTD,9533
DICLOMINT S 10MG TAB,MINT PHARMACEUTICALS,9533
DICLONES S TAB,FITWEL PHARMA,9533
DICLOM SP TAB,OM BIOTEC,9533
